Channel Name	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc	Photons	Lateral Localization Accuracy	Xw	Yw	Xwc	Ywc
647	25934.8	2403.8	25934.8	2403.8	1277.43164	7595.55225	310.28583	0.74659	0.83655	1531.39380	8150.70313	1	1	0	1	74.4102	74.4102	1367.19940	10.14540	25934.8	2403.8	25934.8	2403.8
647	37932.4	8889.4	37932.4	8889.4	1479.95288	23129.32422	321.90332	0.33259	0.98236	1692.03760	23730.49219	1	3	6	1	33.3846	33.3846	4163.27836	6.43586	37932.4	8889.4	37932.4	8889.4
647	17351.8	20360.6	17351.8	20360.6	1018.36749	6902.08008	332.36313	0.00537	1.03654	1723.17529	7199.41406	1	1	12	1	16.056	16.056	1242.37441	13.19895	17351.8	20360.6	17351.8	20360.6
647	20399.4	20758.4	20399.4	20758.4	1427.86267	29801.77734	421.77734	0.77077	1.67675	1802.98706	30792.00000	1	2	13	1	-167.976	-167.976	5364.31992	7.24098	20399.4	20758.4	20399.4	20758.4
647	5927.4	29347.4	5927.4	29347.4	1201.65552	8068.90137	326.16766	0.37128	1.13291	1156.41199	9114.04688	1	1	23	1	-1.44	-1.44	1452.40225	9.39241	5927.4	29347.4	5927.4	29347.4
647	20397.7	20805.7	20397.7	20805.7	1128.11084	10968.97656	396.12958	0.25478	1.88286	1657.69238	11725.68750	4	1	12	1	-159.552	-159.552	1974.41578	11.68093	20397.7	20805.7	20397.7	20805.7
647	17367.2	20385.6	17367.2	20385.6	1097.29224	7099.70898	323.27213	0.35898	1.05113	1531.63220	7550.02344	5	1	11	1	16.056	16.056	1277.94762	11.62281	17367.2	20385.6	17367.2	20385.6
647	17387.7	20379.0	17387.7	20379.0	1029.47534	6854.76025	329.09836	0.12788	0.76050	1490.83374	7406.47656	9	1	9	1	109.575	109.575	1233.85685	12.26283	17387.7	20379.0	17387.7	20379.0
647	31642.0	6846.0	31642.0	6846.0	1385.69043	8014.69727	306.98508	0.92309	0.98322	1379.71924	8342.75781	10	1	3	1	36.315	36.315	1442.64551	9.09681	31642.0	6846.0	31642.0	6846.0
647	20403.8	20719.2	20403.8	20719.2	1216.62390	40241.38672	329.39700	0.30138	1.16160	1624.79773	41564.57031	18	5	5	1	-8.568	-8.568	7243.44961	4.91388	20403.8	20719.2	20403.8	20719.2
647	9210.3	22906.9	9210.3	22906.9	1093.90039	14059.42676	306.90298	1.01913	1.07281	1070.30835	14511.78125	18	2	6	1	17.352	17.352	2530.69682	6.54640	9210.3	22906.9	9210.3	22906.9
647	22886.4	28744.7	22886.4	28744.7	1118.04370	6833.25488	315.70047	0.61718	1.02305	1421.92346	7274.75000	26	1	7	1	25.326	25.326	1229.98588	11.17920	22886.4	28744.7	22886.4	28744.7
647	14307.1	7514.1	14307.1	7514.1	1236.20337	40034.91406	344.74222	0.56257	0.96364	1343.42200	40295.28125	27	4	3	1	33.3846	33.3846	7206.28453	4.53221	14307.1	7514.1	14307.1	7514.1
647	19617.3	21229.0	19617.3	21229.0	1381.49951	9441.18848	333.73123	0.17674	0.85246	1458.97290	9783.32813	28	1	6	1	75.8754	75.8754	1699.41393	9.31466	19617.3	21229.0	19617.3	21229.0
647	37936.8	8875.8	37936.8	8875.8	1265.61755	25750.49414	342.51132	0.40591	1.02162	1355.95837	26069.13281	30	3	2	1	16.056	16.056	4635.08895	5.96080	37936.8	8875.8	37936.8	8875.8
647	25971.8	2431.0	25971.8	2431.0	1573.01904	25498.36523	316.17889	0.59276	0.76467	1228.10767	26061.17578	31	3	1	1	99.3186	99.3186	4589.70574	5.01897	25971.8	2431.0	25971.8	2431.0
647	25972.9	2430.2	25972.9	2430.2	1257.89063	18327.56250	304.22327	0.98843	0.83839	1199.73059	18780.60938	35	3	0	1	72.945	72.945	3298.96125	6.23757	25972.9	2430.2	25972.9	2430.2
647	14379.4	7681.0	14379.4	7681.0	1393.48962	9804.80566	338.61652	0.21603	1.05219	1387.81042	10124.28906	35	1	2	1	10.224	10.224	1764.86502	9.05897	14379.4	7681.0	14379.4	7681.0
647	10250.0	6178.1	10250.0	6178.1	1306.89795	15935.29199	306.07806	0.96459	0.98928	1243.21912	16617.52344	37	2	3	1	35.5824	35.5824	2868.35256	6.17786	10250.0	6178.1	10250.0	6178.1
647	20414.4	20684.1	20414.4	20684.1	1054.19629	24825.65039	355.40933	0.69343	1.12019	1516.62012	25948.75781	37	3	7	1	-14.4	-14.4	4468.61707	6.90254	20414.4	20684.1	20414.4	20684.1
647	22908.3	28775.7	22908.3	28775.7	1001.73279	6359.04834	321.70010	0.38977	1.02770	1386.89124	6805.32813	39	1	9	1	21.663	21.663	1144.62870	12.22797	22908.3	28775.7	22908.3	28775.7
647	37937.1	8861.2	37937.1	8861.2	1131.31445	6826.16504	313.54404	0.68708	0.76773	1345.89624	7348.08594	43	1	4	1	97.1208	97.1208	1228.70971	10.80630	37937.1	8861.2	37937.1	8861.2
647	9236.5	22872.6	9236.5	22872.6	1197.59070	6667.79395	301.22824	1.36594	1.17109	1009.18744	7172.81641	48	1	6	1	3.096	3.096	1200.20291	9.18170	9236.5	22872.6	9236.5	22872.6
647	9201.6	22894.4	9201.6	22894.4	1007.39154	13688.95605	330.76566	0.35404	1.21870	1001.14423	14014.86719	51	2	2	1	-19.584	-19.584	2464.01209	7.45038	9201.6	22894.4	9201.6	22894.4
647	20862.7	20531.3	20862.7	20531.3	1527.44226	13509.75684	381.72543	1.24124	1.24194	1519.57214	14231.95313	55	1	3	1	-61.056	-61.056	2431.75623	8.72011	20862.7	20531.3	20862.7	20531.3
647	25952.4	2434.5	25952.4	2434.5	1518.13904	9043.38281	311.59314	0.78901	0.75139	1155.50220	9580.39063	56	1	0	1	101.516	101.516	1627.80891	7.84626	25952.4	2434.5	25952.4	2434.5
647	25955.8	2431.2	25955.8	2431.2	1008.51959	17917.03516	308.66858	0.82554	0.81160	1113.78735	18297.24609	58	3	0	1	81.7362	81.7362	3225.06633	6.34141	25955.8	2431.2	25955.8	2431.2
647	14396.5	7656.0	14396.5	7656.0	1097.91431	16724.12695	354.64240	0.95000	0.94787	1301.23352	17208.11719	59	2	1	1	37.0476	37.0476	3010.34285	7.82694	14396.5	7656.0	14396.5	7656.0
647	22886.6	28764.5	22886.6	28764.5	1170.28894	6456.87451	299.85483	1.36569	1.13009	1363.97412	6949.26563	60	1	6	1	9.576	9.576	1162.23741	10.54601	22886.6	28764.5	22886.6	28764.5
647	25961.9	2421.7	25961.9	2421.7	1405.44604	15620.93848	317.57324	0.45576	0.84237	1154.18518	15995.85156	62	2	0	1	74.4102	74.4102	2811.76893	6.51790	25961.9	2421.7	25961.9	2421.7
